epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
117,8045.45,0.23354,0.4439,0.1711,0.84714,0.87989,0.91182,0.6615,0.33941,0.47992,0.12318,0.000154064,0.000154064,0.000154064
118,8113.69,0.22576,0.44803,0.16006,0.85099,0.89136,0.91535,0.6644,0.33624,0.47195,0.11751,0.000153668,0.000153668,0.000153668
119,8182.28,0.21533,0.42478,0.15977,0.87875,0.86908,0.90295,0.65249,0.33061,0.47476,0.11859,0.000153272,0.000153272,0.000153272
120,8250.39,0.2238,0.42265,0.16989,0.86171,0.86786,0.90174,0.66459,0.32068,0.46901,0.11342,0.000152876,0.000152876,0.000152876
121,8319.13,0.22948,0.41654,0.17123,0.86382,0.8663,0.89856,0.66067,0.32815,0.45877,0.11811,0.00015248,0.00015248,0.00015248
122,8387.52,0.23438,0.4269,0.16792,0.8337,0.91086,0.91529,0.66549,0.33428,0.49158,0.12466,0.000152084,0.000152084,0.000152084
123,8456.25,0.23542,0.42322,0.16347,0.8554,0.87465,0.92179,0.66811,0.33609,0.45879,0.1279,0.000151688,0.000151688,0.000151688
124,8524.59,0.22493,0.43717,0.16746,0.86589,0.85794,0.91075,0.66431,0.33611,0.47876,0.12601,0.000151292,0.000151292,0.000151292
125,8593.36,0.23909,0.42442,0.15954,0.82536,0.89415,0.91553,0.66944,0.34056,0.4826,0.12663,0.000150896,0.000150896,0.000150896
126,8661.66,0.22304,0.42325,0.1552,0.81431,0.89972,0.92328,0.67347,0.33619,0.49846,0.12447,0.0001505,0.0001505,0.0001505
127,8730.25,0.21893,0.43892,0.1564,0.85303,0.87306,0.91804,0.6715,0.33304,0.46339,0.12535,0.000150104,0.000150104,0.000150104
128,8798.57,0.22049,0.42347,0.17394,0.84205,0.88858,0.93191,0.68458,0.31917,0.4859,0.11197,0.000149708,0.000149708,0.000149708
129,8867.52,0.21863,0.41269,0.14826,0.85478,0.88538,0.91652,0.6745,0.32982,0.49613,0.11735,0.000149312,0.000149312,0.000149312
130,8935.87,0.22856,0.43734,0.16252,0.86188,0.86907,0.90438,0.65962,0.35805,0.49031,0.13445,0.000148916,0.000148916,0.000148916
131,9004.59,0.21392,0.43137,0.15219,0.86804,0.8612,0.90726,0.66718,0.33698,0.47079,0.12446,0.00014852,0.00014852,0.00014852
132,9072.83,0.21348,0.40898,0.16171,0.87822,0.89694,0.92656,0.68507,0.32973,0.43493,0.11747,0.000148124,0.000148124,0.000148124
133,9141.52,0.22574,0.41471,0.15141,0.87595,0.88022,0.91762,0.67409,0.34085,0.45697,0.12164,0.000147728,0.000147728,0.000147728
134,9209.77,0.21743,0.40001,0.15705,0.86338,0.8802,0.91615,0.66425,0.32457,0.47013,0.11084,0.000147332,0.000147332,0.000147332
135,9278.4,0.22484,0.40518,0.16369,0.85627,0.88301,0.91381,0.66961,0.3509,0.46155,0.1317,0.000146936,0.000146936,0.000146936
136,9346.67,0.21175,0.39522,0.1615,0.86286,0.87629,0.91982,0.66467,0.3368,0.46614,0.12376,0.00014654,0.00014654,0.00014654
137,9415.33,0.21444,0.38515,0.1523,0.86385,0.83066,0.89298,0.6497,0.35546,0.48487,0.13129,0.000146144,0.000146144,0.000146144
138,9483.52,0.22693,0.40929,0.16437,0.84645,0.87522,0.91795,0.67162,0.31567,0.45449,0.11242,0.000145748,0.000145748,0.000145748
139,9552.38,0.22035,0.42727,0.16469,0.87283,0.87947,0.91862,0.67789,0.32771,0.46461,0.11798,0.000145352,0.000145352,0.000145352
140,9620.8,0.2058,0.42997,0.14214,0.88068,0.87744,0.91059,0.66052,0.33858,0.45921,0.12425,0.000144956,0.000144956,0.000144956
141,9689.76,0.22333,0.41257,0.15607,0.87185,0.88022,0.91364,0.67074,0.33849,0.45921,0.1212,0.00014456,0.00014456,0.00014456
142,9758.44,0.21744,0.38953,0.157,0.85624,0.86268,0.90429,0.66227,0.35543,0.50309,0.13004,0.000144164,0.000144164,0.000144164
143,9827.58,0.21992,0.40926,0.16871,0.86374,0.88858,0.9227,0.67593,0.32923,0.43874,0.1173,0.000143768,0.000143768,0.000143768
144,9896.31,0.22057,0.41697,0.15968,0.85568,0.87531,0.90982,0.66928,0.32782,0.49115,0.12013,0.000143372,0.000143372,0.000143372
